Time(s);pressure(Pa);altitude(m);alt_filtered(m);velocity(m/s)
5.223;111530;3322.3750679311847;454.26414354723954;7843.063627822371
5.323;111530;3322.3750679311847;1238.5705063294808;5696.406033182631
5.423;111550;3320.975770067113;1808.211109647742;4136.767997611115
5.523;111550;3320.975770067113;2221.887909408852;3003.6249142037946
5.623;111570;3319.576675327969;2522.250400829233;2183.2178247648185
5.723;111540;3321.675393604414;2740.572183305714;1586.200597590983
5.823;111570;3319.576675327969;2899.1922430648133;1149.5726411258506
5.923;111570;3319.576675327969;3014.149507177398;825.9970640137594
6.024;111580;3318.877204109648;3097.5752106427876;613.2117803325052
6.123;111560;3320.2761973110446;3158.2831768957058;442.0255708700704
6.223;111570;3319.576675327969;3202.4857339827126;319.23754998199286
6.323;111580;3318.877204109648;3234.409488980912;230.02696968596038
6.423;111590;3318.1777836478523;3257.412185949508;166.4165883371515
6.524;111570;3319.576675327969;3274.2202613715604;122.38543102142013
6.623;111600;3317.478413934348;3286.336419042681;42.58005597972893
6.823;111600;3317.478413934348;3294.8524302386268;60.916273035272965
6.923;111610;3316.779094960911;3300.944057542154;41.92672513541352
7.024;111620;3316.0798267193077;3305.178656780831;32.04276197227103
7.123;111600;3317.478413934348;3308.3508902160856;24.003725622706128
7.223;111610;3316.779094960911;3310.7512627783562;8.241778751248596
7.423;111610;3316.779094960911;3312.399618528606;11.857431226129094
7.524;111610;3316.779094960911;3313.597219082445;9.754795285084793
7.623;111600;3317.478413934348;3314.5629438156684;7.016400890333923
7.723;111610;3316.779094960911;3315.264583904702;2.5488568201808426
7.923;111600;3317.478413934348;3315.774355268738;0.8273385360553295
8.024;111640;3314.6814423987207;3315.8579164608796;-2.2840346437813452
8.123;111630;3315.380609201319;3315.631797031145;0.2691393848226615
8.223;111620;3316.0798267193077;3315.6587109696275;0.19554120903194486
8.323;111630;3315.380609201319;3315.6782650905307;-2.725816802021664
8.423;111650;3313.982326303289;3315.4056834103285;-2.9363837619212165
8.523;111640;3314.6814423987207;3315.1120450341364;-3.08923096198215
8.623;111660;3313.2832609068096;3314.803121937938;-4.156173553546919
8.723;111660;3313.2832609068096;3314.3875045825835;-2.063813560025672
8.823;111650;3313.982326303289;3314.181123226581;-0.5436250408274664
8.923;111650;3313.982326303289;3314.126760722498;-0.3910561499561508
9.024;111650;3313.982326303289;3314.0872640513526;-2.220744813151972
9.123;111670;3312.5842462010633;3313.8674103148505;-3.5089081470959584
9.223;111670;3312.5842462010633;3313.516519500141;-2.549370995729996
9.323;111670;3312.5842462010633;3313.261582400568;-1.8522264480634543
9.423;111670;3312.5842462010633;3313.0763597557616;-1.3323973128869029
9.524;111670;3312.5842462010633;3312.94178762716;-0.9875997425618619
9.623;111670;3312.5842462010633;3312.8440152526464;-2.621657943222962
9.723;111690;3311.186368828908;3312.581849458324;-5.727069012650666
9.823;111710;3309.788694121145;3312.009142557059;-6.071982159792263
9.923;111710;3309.788694121145;3311.40194434108;-3.421857841266811
10.024;111700;3310.487506146086;3311.056336699112;-1.571221868918579
10.123;111700;3310.487506146086;3310.900785734089;-1.1301439136150133
10.223;111700;3310.487506146086;3310.7877713427274;-1.7765744647067612
10.323;111710;3309.788694121145;3310.6101138962567;-0.33521079020374717
10.423;111690;3311.186368828908;3310.5765928172364;-0.5994762454747636
10.623;111720;3309.0899327458915;3310.4566975681414;-3.73752053103539
10.723;111720;3309.0899327458915;3310.082945515038;-2.7154676150894472
10.823;111720;3309.0899327458915;3309.811398753529;-2.9282410603582423
10.923;111730;3308.39122201211;3309.518574647493;-3.052306947701831
11.024;111730;3308.39122201211;3309.210291645775;-2.262431428371564
11.123;111730;3308.39122201211;3308.9863109343664;-2.582584247252234
11.223;111740;3307.692561911607;3308.728052509641;-2.831626412125853
11.323;111740;3307.692561911607;3308.4448898684286;-1.4987546851466487
11.524;111750;3306.993952436178;3308.143640176714;-1.5798527794466874
11.723;111750;3306.993952436178;3307.8292494736042;-2.2841821621887073
11.823;111750;3306.993952436178;3307.6008312573854;-1.6595554825426067
11.923;111750;3306.993952436178;3307.434875709131;-3.0850790435984754
12.024;111770;3305.596885327753;3307.1232827257277;-2.097511425674467
12.223;111770;3305.596885327753;3306.7058779520185;-1.1224309965382457
12.323;111750;3306.993952436178;3306.5936348523646;-0.5450818620956852
12.823;111790;3304.200020621285;3306.321093921317;-5.800233425416102
12.923;111790;3304.200020621285;3305.741070578775;-2.5844851170927634
13.123;111800;3303.501664148303;3305.2241735553566;-3.7554767011305934
13.223;111790;3304.200020621285;3304.8486258852436;-4.638014048587155
13.323;111820;3302.105102921904;3304.384824480385;-6.23406894233542
13.423;111820;3302.105102921904;3303.7614175861513;-5.483962765524685
13.523;111830;3301.4068981521177;3303.213021309599;-4.938978727550438
13.623;111830;3301.4068981521177;3302.719123436844;-2.6337315340787963
13.723;111820;3302.105102921904;3302.455750283436;-0.6357202547705075
14.024;111830;3301.4068981521177;3302.26439848675;-2.1376806566168773
14.223;111850;3300.010640258474;3301.8390000360832;-4.99978642681528
14.323;111850;3300.010640258474;3301.3390213934017;-3.632557470023143
14.423;111850;3300.010640258474;3300.9757656463994;-3.558066061991204
14.524;111860;3299.3125871182515;3300.6164009741383;-3.601390312949176
14.623;111860;3299.3125871182515;3300.2598633331563;-2.5903975900837026
14.723;111860;3299.3125871182515;3300.000823574148;-0.30817102273177727
15.024;111850;3300.010640258474;3299.9080640963057;-1.182889731570981
15.323;111890;3297.218730825911;3299.554380066566;-5.432775353529015
15.423;111880;3297.9166324101425;3299.011102531213;-1.1349040201465268
16.023;111920;3295.125329054469;3298.330160119125;-7.809825116537357
16.123;111910;3295.823079156239;3297.5491776074714;-5.67417008344831
16.223;111920;3295.125329054469;3296.9817605991266;-5.076550771327603
16.323;111920;3295.125329054469;3296.474105521994;-5.596172778168812
16.423;111940;3293.729980276241;3295.914488244177;-3.111832622839712
16.523;111910;3295.823079156239;3295.603304981893;-1.3069918701785168
16.623;111930;3294.427629430523;3295.472605794875;-3.8114528192409938
16.723;111940;3293.729980276241;3295.091460512951;-4.676887311970792
16.823;111950;3293.0323815834677;3294.623771781754;-2.444070660485574
16.923;111930;3294.427629430523;3294.3793647157054;-0.8137657438946884
17.024;111940;3293.729980276241;3294.297174375572;-2.530154060900938
17.123;111950;3293.0323815834677;3294.046689123543;-2.773699757335694
17.223;111950;3293.0323815834677;3293.7693191478093;-2.968959724371374
17.323;111960;3292.334833344038;3293.472423175372;-3.1108243944345966
17.423;111960;3292.334833344038;3293.1613407359287;-1.6069130686855486
17.623;111970;3291.637335549807;3292.8399581221915;-4.2422722398124275
17.723;111980;3290.9398881926145;3292.4157308982103;-4.035802153334713
17.823;111980;3290.9398881926145;3292.012150682877;-2.407560681233038
18.024;112000;3289.545144756749;3291.528230985949;-5.477674211958546
18.123;112000;3289.545144756749;3290.985941238965;-3.939965636850586
18.223;112000;3289.545144756749;3290.59194467528;-2.862552594051481
18.323;112000;3289.545144756749;3290.305689415875;-3.0331703350385135
18.423;112010;3288.8478486617805;3290.002372382371;-1.370155533112056
18.723;112020;3288.1506029712646;3289.5913257224374;-2.92311387255496
18.923;112040;3286.7562627710136;3289.0067029479264;-6.093066154983441
19.024;112040;3286.7562627710136;3288.391303266273;-4.5163034388091035
19.123;112040;3286.7562627710136;3287.944189225831;-4.20160218662213
19.223;112050;3286.059168244998;3287.524029007169;-3.0526426743426347
19.323;112040;3286.7562627710136;3287.2187647397345;-4.123925186536414
19.423;112070;3284.6651303005096;3286.806372221081;-3.910233232135754
19.524;112050;3286.059168244998;3286.411438664635;-1.9357267125234623
19.623;112060;3285.3621240908737;3286.2198017200953;-2.345383562733382
19.723;112060;3285.3621240908737;3285.985263363822;-2.657011702349299
19.823;112070;3284.6651303005096;3285.719562193587;-4.789197857094325
19.923;112090;3283.2712937785213;3285.2406424078777;-6.275361641254881
20.024;112100;3282.574451030636;3284.606830882111;-5.61383289208826
20.123;112100;3282.574451030636;3284.051061425794;-4.037901457804851
20.223;112100;3282.574451030636;3283.6472712800137;-2.9337071329927804
20.323;112100;3282.574451030636;3283.3539005667144;-2.131462996831078
20.423;112100;3282.574451030636;3283.1407542670313;-1.5332658555088676
20.524;112100;3282.574451030636;3282.985894415625;-1.136487554825665
20.623;112100;3282.574451030636;3282.873382147697;-1.7701649395167274
20.723;112110;3281.877658613994;3282.6963656537455;-3.191462231579817
20.823;112120;3281.18091652047;3282.3772194305875;-4.223957557987977
20.923;112130;3280.484224741938;3281.9548236747887;-3.9816462029165587
21.024;112130;3280.484224741938;3281.552677408294;-1.0268072026777013
21.123;112110;3281.877658613994;3281.451023495229;-2.6435082942135177
21.223;112150;3279.0909920973727;3281.1866726658077;-3.8258457191022357
21.323;112130;3280.484224741938;3280.8040880938975;-1.82719931473461
21.423;112140;3279.7875832702775;3280.621368162424;-2.257472364290813
21.524;112140;3279.7875832702775;3280.3933634536306;-1.5095872302384128
21.823;112170;3277.6979606153627;3279.9419968717893;-7.088718871259667
21.923;112180;3277.001520290036;3279.2331249846634;-5.099263098064279
22.024;112170;3277.6979606153627;3278.718099411759;0.06815038356000151
22.123;112140;3279.7875832702775;3278.7248462997313;-2.8074769766045082
22.223;112200;3275.608790430179;3278.444098602071;-6.801265442190828
22.323;112190;3276.305130231007;3277.763972057852;-3.037146654769523
22.423;112180;3277.001520290036;3277.460257392375;-2.184768523244991
22.524;112190;3276.305130231007;3277.239595771527;-2.240949926279942
22.723;112210;3274.9125008794326;3276.7936467361974;-2.0960530014076615
22.923;112200;3275.608790430179;3276.374436135916;-3.0155874187674403
23.024;112210;3274.9125008794326;3276.0698618066203;-4.158433474463019
23.123;112220;3274.2162615706757;3275.6581768926485;-6.798490746291608
23.223;112250;3272.1278450153;3274.9783278180194;-5.8912831756651105
23.323;112230;3273.5200724957976;3274.389199500453;-2.3766927353518037
23.423;112230;3273.5200724957976;3274.1515302269177;-2.652069502355357
23.524;112240;3272.8239336467077;3273.8836712071798;-3.8885704341259646
23.623;112250;3272.1278450153;3273.4987027342013;-4.700397398960477
23.723;112260;3271.4318065934776;3273.0286629943053;-4.366723145080806
23.823;112260;3271.4318065934776;3272.591990679797;-1.269172349566388
23.923;112240;3272.8239336467077;3272.4650734448405;0.029284008795199934
24.024;112250;3272.1278450153;3272.468031129729;-1.9009584694970807
24.123;112260;3271.4318065934776;3272.2798362412486;-2.586821125103152
24.323;112290;3269.3439925046296;3271.762472016228;-5.6620342833322255
24.423;112280;3270.0398803462363;3271.196268587895;-4.072978912738524
24.524;112290;3269.3439925046296;3270.784897717708;-3.9800636055735166
24.623;112290;3269.3439925046296;3270.3908714207564;-6.667997261702254
24.723;112330;3266.560942829619;3269.724071694586;-6.747335077820839
24.823;112310;3267.9523673450094;3269.049338186804;-3.9510215953760897
24.923;112320;3267.256630010828;3268.6542360272665;-4.725804327088178
25.024;112330;3266.560942829619;3268.1769297902306;-4.46367382853691
25.123;112330;3266.560942829619;3267.7350260812054;-3.2106183788983573
25.223;112330;3266.560942829619;3267.4139642433156;-2.3326507934688956
25.323;112330;3266.560942829619;3267.1806991639687;-2.6459057313150534
25.423;112340;3265.865305793306;3266.916108590837;-3.786698951696161
25.524;112350;3265.169718893813;3266.533651996716;-4.7280561797415706
25.623;112360;3264.474182123058;3266.0655744349215;-3.4007825504887292
25.723;112350;3265.169718893813;3265.7254961798726;-2.4708131514261926
25.823;112360;3264.474182123058;3265.47841486473;-3.6970795740035887
25.923;112370;3263.7786954729754;3265.1087069073296;-4.542452705929416
26.024;112380;3263.083258935488;3264.6499191840308;-6.248148660927302
26.123;112400;3261.692536166029;3264.031352466599;-1.0274923127043536
27.023;112430;3259.6068276546466;3263.106609385165;-10.520865354655903
27.123;112440;3258.9116916233506;3262.0545228496994;-6.69333695036599
27.223;112420;3260.3020137501494;3261.385189154663;-4.8629939487090486
27.323;112440;3258.9116916233506;3260.898889759792;-5.43414178743217
27.423;112440;3258.9116916233506;3260.3554755810487;-5.790921997488123
27.524;112460;3257.5215697211643;3259.7705924593024;-3.568023187409557
27.723;112470;3256.826583834166;3259.060555845008;-6.108963385913652
27.823;112470;3256.826583834166;3258.4496595064165;-6.338707325881067
27.923;112490;3255.4367621480906;3257.8157887738284;-4.559743014685137
28.024;112470;3256.826583834166;3257.3552547293452;-2.420067753202156
28.123;112480;3256.131647979157;3257.115668021778;-3.6409849459097
28.223;112490;3255.4367621480906;3256.7515695271873;-5.495451100045933
28.323;112510;3254.047140525602;3256.2020244171827;-3.992678934760164
28.423;112490;3255.4367621480906;3255.8027565237066;-0.9601179339870214
28.923;112530;3252.657718902341;3255.322697556713;-2.42919441914788
29.223;112530;3252.657718902341;3254.5939392309688;-7.194204417596564
29.323;112550;3251.2684972139864;3253.874518789209;-3.5454530941467475
29.524;112550;3251.2684972139864;3253.1618827172856;-7.148278895498927
29.623;112570;3249.879475396252;3252.454203106631;-6.091223475068675
29.723;112560;3250.5739613253086;3251.8450807591244;-6.324451683631106
29.823;112590;3248.490653384872;3251.2126355907612;-6.494038481259988
29.923;112580;3249.185039418781;3250.5632317426353;-3.7314553346821353
30.024;112580;3249.185039418781;3250.1863547538323;-3.724845302051762
30.123;112590;3248.490653384872;3249.817595068929;-4.577978154948239
30.223;112600;3247.7963172864934;3249.3597972534344;-5.224741498373003
30.323;112610;3247.1020311156185;3248.837323103597;-4.745285602043724
30.423;112610;3247.1020311156185;3248.3627945433927;-4.353338860169802
30.524;112620;3246.4077948642343;3247.9231073185156;-4.185591040699025
30.623;112620;3246.4077948642343;3247.5087338054864;-3.010599796944071
30.723;112620;3246.4077948642343;3247.207673825792;-2.187328787285847
30.823;112620;3246.4077948642343;3246.9889409470634;-2.5383395947483764
30.923;112630;3245.713608524304;3246.7351069875886;-1.0963877691321078
31.524;112670;3242.9373621188643;3246.07617793834;-8.670026657069446
31.623;112670;3242.9373621188643;3245.2178452992903;-6.236151654448028
31.723;112670;3242.9373621188643;3244.5942301338455;-4.162832495039781
31.923;112710;3240.1619136556365;3243.7616636348375;-8.807107559597382
32.024;112700;3240.8557009923916;3242.872145771318;-6.528005628963516
32.123;112710;3240.1619136556365;3242.225873214051;-6.592590142754395
32.223;112720;3239.4681761582387;3241.5666141997754;-1.9064237939379756
32.524;112720;3239.4681761582387;3240.9927806378;-3.048249999973658
32.723;112740;3238.0808506495287;3240.3861788878053;-6.304092321561167
32.823;112740;3238.0808506495287;3239.755769655649;-6.476791356658303
32.923;112760;3236.6937244022656;3239.1080905199833;-4.659073629339954
33.024;112740;3238.0808506495287;3238.63752408342;-1.4605562661857316
33.323;112770;3236.0002359816885;3238.2008177598304;-6.965785172287625
33.423;112780;3235.306797352498;3237.5042392426017;-5.010830860020124
33.524;112770;3236.0002359816885;3236.9981453257396;-5.62933645371728
33.623;112800;3233.920069436304;3236.4408410168217;-5.945244491717774
33.723;112790;3234.6134085066956;3235.84631656765;-5.26739866338168
33.823;112810;3233.22678013333;3235.3195767013117;-6.670766254105634
33.923;112820;3232.533540589791;3234.652500075901;-5.7370822210933206
34.024;112820;3232.533540589791;3234.0730547715707;-5.209804245724904
34.123;112830;3231.840350797709;3233.557284151244;-2.799435238316579
34.223;112810;3233.22678013333;3233.2773406274123;-2.9816303821825874
34.323;112840;3231.1472107491013;3232.979177589194;-4.061928581540939
34.423;112830;3231.840350797709;3232.57298473104;-1.9494087423231992
34.623;112850;3230.4541204359944;3232.1831029825753;-5.6756175957297375
34.723;112860;3229.761079850406;3231.6155412230023;-5.071163188613283
34.823;112860;3229.761079850406;3231.108424904141;-6.5267647789641146
34.923;112890;3227.6822563790643;3230.4557484262446;-2.370986091102673
35.123;112860;3229.761079850406;3229.981551208024;-1.4641860771143702
35.423;112900;3226.989414623858;3229.5422953848897;-6.981043192149528
35.523;112900;3226.989414623858;3228.8441910656747;-6.019270605975522
35.623;112910;3226.2966225563196;3228.2422640050772;-5.320501919850282
35.723;112910;3226.2966225563196;3227.710213813092;-4.8127488256840705
35.823;112920;3225.603880168501;3227.228938930524;-5.3909546040812675
35.923;112930;3224.9111874524283;3226.6898434701156;-1.6894710170902332
36.323;112950;3223.5259510037;3226.0140550632796;-4.34882560859017
36.523;112970;3222.140913146478;3225.1442899415615;-7.266119816695622
36.623;112960;3222.833407255127;3224.417677959892;-5.2791450604126275
36.723;112970;3222.140913146478;3223.8897634538507;-4.7823618395067795
36.823;112970;3222.140913146478;3223.4115272699;-4.421359841153326
36.923;112980;3221.4484686698033;3222.9693912857847;-5.992489264862946
37.024;113000;3220.06372858057;3222.3641498700335;-2.103904315515254
37.323;113000;3220.06372858057;3221.7350824796945;-4.57044212063004
37.423;113000;3220.06372858057;3221.2780382676315;-6.160118316592983
37.523;113030;3217.986990487834;3220.662026435972;-5.422154996695407
