Time(s),altitude(m),velocity(m/s)
43.989,165.0,0.0
44.984,165.0,0.9990009990010014
45.985,166.0,0.0
46.981,166.0,0.0
47.9825,166.0,0.0
51.978,166.0,0.0
52.9745,166.0,0.0
53.9765,166.0,0.0
54.973,166.0,0.9960159362549823
55.977,167.0,0.0
56.9715,167.0,0.0
57.9735,167.0,0.0
58.969,167.0,0.0
59.971,167.0,0.5013787916771115
61.9655,168.0,0.0
62.9645,168.0,0.0
63.9625,168.0,0.0
64.963,168.0,0.0
67.9585,168.0,0.0
69.9565,168.0,0.0
70.955,168.0,0.0
71.954,168.0,0.99950024987506
72.9545,169.0,0.0
73.954,169.0,0.0
74.951,169.0,1.0010010010009915
75.95,170.0,0.0
77.948,170.0,0.0
78.947,170.0,0.0
79.946,170.0,0.0
80.945,170.0,1.001502253380063
81.9435,171.0,0.0
82.9425,171.0,0.0
85.939,171.0,0.0
86.938,171.0,0.0
87.9365,171.0,0.0
88.936,171.0,0.0
90.9335,171.0,0.0
91.9325,171.0,0.0
92.9315,171.0,-1.0005002501250648
93.931,170.0,0.0
94.9295,170.0,0.0
95.929,170.0,0.0
96.927,170.0,0.0
97.926,170.0,0.05889628364450206
131.884,172.0,0.9990009990009943
132.885,173.0,0.0
134.8815,173.0,0.0
135.8805,173.0,0.0
136.8795,173.0,0.0
137.8775,173.0,0.0
138.877,173.0,0.0
139.877,173.0,0.0
140.875,173.0,0.0
141.8735,173.0,0.0
142.8725,173.0,0.0
143.871,173.0,0.0
144.8695,173.0,0.0
145.87,173.0,0.0
146.868,173.0,0.0
147.866,173.0,0.0
149.864,173.0,0.0
150.8625,173.0,0.0
151.8625,173.0,0.0
152.861,173.0,0.0
153.86,173.0,0.0
155.857,173.0,0.0
156.855,173.0,0.0
157.8545,173.0,0.0
158.854,173.0,0.0
159.852,173.0,0.0
160.851,173.0,0.0
164.8455,173.0,0.0
169.84,173.0,-1.001502253380063
170.8385,172.0,0.0
171.837,172.0,0.0
172.835,172.0,0.0
173.8345,172.0,0.0
