altitude(m),velocity(m/s),Time(ms)
165.0,0.0,-2335424.5
165.0,0.9990009990010014,-2334429.5
166.0,0.0,-2333428.5
166.0,0.0,-2332432.5
166.0,0.0,-2331431.0
166.0,0.0,-2327435.5
166.0,0.0,-2326439.0
166.0,0.0,-2325437.0
166.0,0.9960159362549824,-2324440.5
167.0,0.0,-2323436.5
167.0,0.0,-2322442.0
167.0,0.0,-2321440.0
167.0,0.0,-2320444.5
167.0,0.5013787916771115,-2319442.5
168.0,0.0,-2317448.0
168.0,0.0,-2316449.0
168.0,0.0,-2315451.0
168.0,0.0,-2314450.5
168.0,0.0,-2311455.0
168.0,0.0,-2309457.0
168.0,0.0,-2308458.5
168.0,0.99950024987506,-2307459.5
169.0,0.0,-2306459.0
169.0,0.0,-2305459.5
169.0,1.0010010010009915,-2304462.5
170.0,0.0,-2303463.5
170.0,0.0,-2301465.5
170.0,0.0,-2300466.5
170.0,0.0,-2299467.5
170.0,1.001502253380063,-2298468.5
171.0,0.0,-2297470.0
171.0,0.0,-2296471.0
171.0,0.0,-2293474.5
171.0,0.0,-2292475.5
171.0,0.0,-2291477.0
171.0,0.0,-2290477.5
171.0,0.0,-2288480.0
171.0,0.0,-2287481.0
171.0,-1.0005002501250648,-2286482.0
170.0,0.0,-2285482.5
170.0,0.0,-2284484.0
170.0,0.0,-2283484.5
170.0,0.0,-2282486.5
170.0,0.058896283644502,-2281487.5
172.0,0.9990009990009944,-2247529.5
173.0,0.0,-2246528.5
173.0,0.0,-2244532.0
173.0,0.0,-2243533.0
173.0,0.0,-2242534.0
173.0,0.0,-2241536.0
173.0,0.0,-2240536.5
173.0,0.0,-2239536.5
173.0,0.0,-2238538.5
173.0,0.0,-2237540.0
173.0,0.0,-2236541.0
173.0,0.0,-2235542.5
173.0,0.0,-2234544.0
173.0,0.0,-2233543.5
173.0,0.0,-2232545.5
173.0,0.0,-2231547.5
173.0,0.0,-2229549.5
173.0,0.0,-2228551.0
173.0,0.0,-2227551.0
173.0,0.0,-2226552.5
173.0,0.0,-2225553.5
173.0,0.0,-2223556.5
173.0,0.0,-2222558.5
173.0,0.0,-2221559.0
173.0,0.0,-2220559.5
173.0,0.0,-2219561.5
173.0,0.0,-2218562.5
173.0,0.0,-2214568.0
173.0,-1.001502253380063,-2209573.5
172.0,0.0,-2208575.0
172.0,0.0,-2207576.5
172.0,0.0,-2206578.5
172.0,0.0,-2205579.0
172.0,0.0,-2204580.0
172.0,0.0,-2203581.5
172.0,0.0,-2201583.5
172.0,0.0,-2199586.0
172.0,0.0,-2198587.0
172.0,-1.001001001000977,-2197588.5
171.0,0.0,-2196589.5
171.0,0.0,-2195591.0
171.0,1.980198019801998,-2194592.5
173.0,-1.0126582278480896,-2193582.5
172.0,0.0,-2192595.0
172.0,-1.0070493454179306,-2191590.5
171.0,0.0,-2190597.5
171.0,-1.0065425264217296,-2189593.5
170.0,0.0,-2188600.0
170.0,0.0,-2187596.0
170.0,-0.9965122072745366,-2186603.0
169.0,-0.5007511266900315,-2185599.5
168.0,0.0,-2183602.5
168.0,0.0,-2182608.5
168.0,-1.0055304172951354,-2179608.5
167.0,0.0,-2178614.0
167.0,0.0,-2177610.0
167.0,0.0,-2176617.5
